id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,average_bill,remaining_contract_months,service_failure_count,average_download_speed,average_upload_speed,download_over_limit,churn,total_average_speed,,,,Number of people left
4389,1,1,11.93,19,1.88,0,52.4,2.2,0,0,54.6,,,,
4424,0,0,5.61,0,0,0,0,0,0,1,0,,,,
4434,0,0,5.25,13,0,0,0,0,0,1,0,,,,
4448,1,0,7.65,0,0,1,19.3,5.2,0,1,24.5,,,,
4479,0,0,9.56,0,0,0,0,0,0,1,0,,,,
4518,0,0,5.98,0,0,0,0,0,0,1,0,,,,
4521,0,0,6.27,0,0,0,0,0,0,1,0,,,,
4522,0,0,10.06,0,0,0,0,0,0,1,0,,,,
4526,1,1,12.19,0,0,0,0,0,0,1,0,,,,
4537,0,0,5.61,0,0,0,0,0,0,1,0,,,,
4544,0,0,7.45,0,0,0,0,0,0,1,0,,,,
4556,0,0,9.99,0,0,0,0,0,0,1,0,,,,
4579,0,0,7.08,0,0,0,0,0,0,1,0,,,,
4612,0,0,9.57,0,0,0,0,0,0,1,0,,,,
4645,0,0,5.37,0,0,0,0,0,0,1,0,,,,
4667,0,0,7.08,0,0,0,0,0,0,1,0,,,,
4672,0,0,11.93,24,0,4,3.9,0.4,0,0,4.3,,,,
4674,0,0,7.32,20,0,0,14.2,0.6,0,1,14.8,,,,
4692,0,0,8.36,0,0,0,0,0,0,1,0,,,,
4700,1,1,6.28,24,0,2,0,0,0,1,0,,,,
4711,0,0,5.12,0,0,0,0,0,0,1,0,,,,
4781,1,1,11.92,10,1.26,0,23.6,1.7,0,0,25.3,,,,
4782,1,0,5.98,21,0,0,0,0,0,1,0,,,,
4785,1,1,11.92,32,0.99,0,0,0,0,0,0,,,,
4819,0,0,5.42,13,0,0,0,0,0,1,0,,,,
4828,0,0,7.87,0,0,0,0,0,0,1,0,,,,
4843,1,1,7.17,22,0,0,2.9,0.3,0,1,3.2,,,,
4877,0,0,9.55,0,0,0,0,0,0,1,0,,,,
4897,0,0,6.05,14,0,0,0,0,0,1,0,,,,
4941,0,0,10.19,0,0,0,0,0,0,1,0,,,,
4950,0,0,5.63,14,0,0,0,0,0,1,0,,,,
4967,1,0,7.77,0,0,0,0,0,0,1,0,,,,
4973,0,0,9.55,18,0,0,0,0,0,1,0,,,,
4985,1,0,6.14,12,0,1,0,0,0,1,0,,,,
5000,1,1,12.12,20,0,0,0.3,0.7,0,1,1,,,,
5110,0,0,5.85,14,0,0,0,0,0,1,0,,,,
5182,0,0,7.35,12,0,0,0,0,0,1,0,,,,
5188,1,1,11.92,33,0,0,27.8,2.1,0,0,29.9,,,,
5194,1,1,6.55,14,0,1,0,0,0,1,0,,,,
5198,1,1,8.85,0,0,0,0,0,0,1,0,,,,
5225,1,1,11.92,24,0,0,37,5.8,0,0,42.8,,,,
5248,0,0,5.12,0,0,0,0,0,0,1,0,,,,
5292,1,1,6.03,0,0,0,0,0,0,1,0,,,,
5308,1,0,11.92,31,0,0,0.3,0,0,0,0.3,,,,
5325,1,1,11.92,24,0,0,0.1,0,0,0,0.1,,,,
5338,1,1,11.92,24,1.01,0,36.7,1.9,0,0,38.6,,,,
5347,0,0,5.56,0,0,0,0,0,0,1,0,,,,
5355,1,1,10.47,7,0,0,0,0,0,1,0,,,,
5422,1,1,11.92,16,1.79,0,34.2,2.3,0,0,36.5,,,,
5442,0,0,11.92,24,0,0,27.8,2.1,0,0,29.9,,,,
5449,0,0,6.95,1,0,0,0,0,0,1,0,,,,
5472,0,0,9.72,8,0,1,6.5,0.6,0,1,7.1,,,,
5510,0,0,12.34,22,0,0,0,0,0,1,0,,,,
5516,1,0,11.17,33,0,0,0,0,0,1,0,,,,
5636,0,0,8.55,14,0,0,14.4,0.8,3,1,15.2,,,,
5660,1,0,8.82,21,0,0,3.3,0.3,0,1,3.6,,,,
5680,1,0,6.18,14,0,0,0,0,0,1,0,,,,
5684,1,0,8.98,24,0,1,27.1,9.4,0,1,36.5,,,,
5694,1,0,11.92,24,0,0,27.8,2.1,0,0,29.9,,,,
5721,1,0,11.92,21,0.33,0,31.4,5,0,0,36.4,,,,
5746,1,1,10.09,59,0,2,27.1,23.9,0,1,51,,,,
5754,0,0,6.08,14,0,0,0,0,0,1,0,,,,
5767,1,0,6.37,14,0,0,0,0,0,1,0,,,,
5780,0,0,7.58,13,0,0,1.6,0.2,0,1,1.8,,,,
5786,1,0,11.92,19,1.78,1,30.3,1.3,0,0,31.6,,,,
5793,0,0,9.42,32,0,0,23.2,5.3,0,1,28.5,,,,
5872,1,0,11.92,21,1.93,1,125.2,6.6,0,0,131.8,,,,
5896,0,0,11.92,59,0,0,27.8,2.1,0,0,29.9,,,,
5960,0,0,6.55,20,0,2,0,0,0,1,0,,,,
5969,1,0,11.89,0,0,0,0,0,0,1,0,,,,
6003,0,0,7.41,21,0,1,2.4,0.9,0,1,3.3,,,,
6009,0,0,5.28,0,0,0,0,0,0,1,0,,,,
6016,1,0,7.05,23,0,3,0,0,0,1,0,,,,
6034,0,0,8.32,12,0,0,4.9,0.6,0,1,5.5,,,,
6115,0,0,6.19,53,0,2,0,0,0,1,0,,,,
6147,1,0,7.32,21,0,0,2.9,0.1,0,1,3,,,,
6149,1,0,11.92,22,1.16,0,19.5,2,0,0,21.5,,,,
6171,1,1,12.76,10,0.57,0,22.3,4.4,0,1,26.7,,,,
6191,0,0,7.47,24,0,0,7.5,1.5,0,1,9,,,,
6192,1,0,8.52,19,0,0,0,0,0,1,0,,,,
6194,1,1,11.92,17,1.95,0,7.3,0.8,0,0,8.1,,,,
6202,0,0,5.37,15,1.86,0,0,0,0,1,0,,,,
6219,0,0,7.04,0,0,0,0,0,7,1,0,,,,
6222,1,0,6.84,0,0,0,0,0,0,1,0,,,,
6223,1,1,11.92,29,0.23,0,16.1,1,0,0,17.1,,,,
6231,1,1,11.92,20,0.37,0,134.6,7.3,0,0,141.9,,,,
6270,0,0,5.73,13,0,0,0,0,0,1,0,,,,
6277,0,0,10.36,18,0,0,0,0,0,1,0,,,,
6283,1,1,11.92,22,1.96,0,62.2,5.1,0,0,67.3,,,,
6303,0,0,7.25,13,0,0,0,0,0,1,0,,,,
6330,0,0,8.69,162,0,0,0,0,0,1,0,,,,
6347,0,0,11.92,66,0.01,0,370.4,14.8,0,0,385.2,,,,
6372,1,0,9.45,26,0,0,11,2.6,0,1,13.6,,,,
6390,1,0,11.92,25,0.21,0,1.9,0.1,0,0,2,,,,
6424,0,0,5.55,14,0,0,0,0,0,1,0,,,,
6492,1,0,11.42,22,0,0,15.5,1.2,0,1,16.7,,,,
6505,0,0,5.6,0,0,0,0,0,0,1,0,,,,
6517,1,0,9.03,20,0,0,2.1,0.4,0,1,2.5,,,,
6518,1,0,7.39,13,0,0,12.7,0.6,0,1,13.3,,,,
6556,1,0,8.55,20,0,2,30.8,2.6,0,1,33.4,,,,
6558,1,0,6.48,35,0,0,0,0,0,1,0,,,,
6572,0,0,5.44,14,0,1,0,0,0,1,0,,,,
6597,0,0,5.25,13,0,0,0,0,0,1,0,,,,
6614,0,0,5.85,22,0,0,0,0,0,1,0,,,,
6617,1,1,11.13,17,0,1,2.5,0.1,0,1,2.6,,,,
6640,1,0,11.92,22,0.07,0,64.1,7.1,0,0,71.2,,,,
6689,1,0,11.74,24,0,0,60.2,3.3,0,1,63.5,,,,
6691,0,0,5.77,14,0,0,0,0,0,1,0,,,,
6727,0,0,5.6,0,0,0,0,0,0,1,0,,,,
6777,1,1,10.8,21,0,0,8,1.3,0,1,9.3,,,,
6787,1,0,9.95,32,0,0,5.6,0.3,0,1,5.9,,,,
6846,1,1,11.92,71,1.16,0,86.3,2.9,0,0,89.2,,,,
6848,0,0,5.6,0,0,0,0,0,0,1,0,,,,
6851,1,0,11.92,22,1.44,0,70.2,2.5,0,0,72.7,,,,
6861,0,0,10.09,20,0,0,0,0,0,1,0,,,,
6862,0,0,10.46,19,0,0,0,0,0,1,0,,,,
6864,1,0,5.79,14,0,0,0,0,0,1,0,,,,
6891,1,0,8.35,0,0,0,0,0,0,1,0,,,,
6954,1,1,11.92,17,0.21,0,27.8,2.1,0,0,29.9,,,,
6956,0,0,5.64,20,0,1,0,0,0,1,0,,,,
6993,0,0,11.36,56,0,0,0,0,0,1,0,,,,
7001,1,0,6.57,21,0,0,0,0,0,1,0,,,,
7003,0,0,5.33,13,0,0,0,0,0,1,0,,,,
7014,1,0,8.1,75,0,0,39.4,1.7,0,1,41.1,,,,
7027,1,0,10.39,21,0,0,0,0,0,1,0,,,,
7041,0,0,9.19,20,0,0,0,0,0,1,0,,,,
7057,1,1,11.92,20,0.46,0,105.7,7.9,0,0,113.6,,,,
7083,0,0,5.6,0,0,0,0,0,0,1,0,,,,
7100,0,0,10.89,0,0,0,0,0,0,1,0,,,,
7115,1,1,11.92,65,0.15,0,22.5,1,0,0,23.5,,,,
7150,0,0,5.29,0,0,0,0,0,0,1,0,,,,
7155,0,0,5.93,0,0,0,0,0,0,1,0,,,,
7166,0,0,7.71,14,0,0,2,0.5,0,1,2.5,,,,
7174,0,0,11.92,12,0,0,2.9,0.1,2,0,3,,,,
7203,0,0,5.6,0,0,0,0,0,0,1,0,,,,
7245,1,0,6.56,0,0,0,0,0,0,1,0,,,,
7302,0,0,5.28,43,0,0,0,0,0,1,0,,,,
7352,1,1,12.3,0,0,0,0,0,0,1,0,,,,
7358,1,0,11.92,21,0.49,0,33.5,11.2,0,0,44.7,,,,
7369,0,0,6.7,23,0.53,4,0,0,0,1,0,,,,
7384,1,1,11.92,10,1.27,0,27.8,2.1,0,0,29.9,,,,
7392,0,0,11.92,25,0.21,1,22,0.8,0,0,22.8,,,,
7428,1,1,11.92,19,1.78,2,62.7,5.7,0,0,68.4,,,,
7452,1,0,8.96,20,0,0,0,0,0,1,0,,,,
7465,1,1,5.22,13,0,0,0,0,0,1,0,,,,
7495,0,0,5.34,13,0,0,0,0,0,1,0,,,,
7502,1,1,10.95,0,0,0,0,0,0,1,0,,,,
7537,0,0,5.62,10,0,0,0,0,0,1,0,,,,
7560,1,0,11.91,22,1.28,0,35.8,2.1,0,0,37.9,,,,
7568,0,0,8.09,12,0,0,1.5,0.2,0,1,1.7,,,,
7592,0,0,5.84,15,0,2,0,0,0,1,0,,,,
7607,0,0,11.91,24,0,0,120.3,10,0,0,130.3,,,,
7650,1,0,6.71,23,0,2,0,0,0,1,0,,,,
7674,0,0,7.62,23,0,0,1.5,0.2,0,1,1.7,,,,
7690,0,0,8.44,19,0,0,1.7,0.3,0,1,2,,,,
7695,1,0,11.91,20,1.3,1,34.2,5.1,0,0,39.3,,,,
7696,0,0,5.6,0,0,0,0,0,0,1,0,,,,
7714,1,1,11.91,10,1.13,0,7.5,1.1,0,0,8.6,,,,
7778,0,0,5.44,13,0,0,0,0,0,1,0,,,,
7813,0,0,7.23,23,0,0,4.2,0.3,0,1,4.5,,,,
7829,0,0,6.88,24,0,1,0,0,0,1,0,,,,
7830,1,0,10.75,6,0,0,23.4,1.9,0,1,25.3,,,,
7877,0,0,5.47,21,0,0,0,0,0,1,0,,,,
7884,0,0,5.5,0,0,0,0,0,0,1,0,,,,
7916,0,0,7.62,23,0,0,0.5,0,0,1,0.5,,,,
7953,1,0,9.46,25,0,0,34,2.3,0,1,36.3,,,,
7967,1,0,11.05,30,0,0,115.1,7,0,1,122.1,,,,
7992,1,0,5.44,21,0,0,0,0,0,1,0,,,,
7994,1,1,11.8,22,1.17,0,51.4,6.5,0,0,57.9,,,,
8006,1,1,11.8,25,1.68,0,51.6,5.1,0,0,56.7,,,,
8011,1,1,11.8,57,0,0,156,12.8,0,0,168.8,,,,
8034,0,0,7.1,12,0,0,15,0.8,0,1,15.8,,,,
8036,1,0,7.15,0,0,0,0.3,0,0,1,0.3,,,,
8037,1,0,7.16,0,0,0,0,0,0,1,0,,,,
8058,1,1,11.79,20,0.54,0,56.4,5.4,0,0,61.8,,,,
8109,1,0,10.69,40,0.49,1,611.9,54.7,0,1,666.6,,,,
8134,1,0,8.34,18,0,0,11.2,0.6,0,1,11.8,,,,
8195,1,0,7.71,0,0,0,1.8,0.2,5,1,2,,,,
8230,1,1,11.76,25,0.1,0,10.6,0.8,0,0,11.4,,,,
8255,1,0,9.85,34,0,0,43.8,7.1,0,1,50.9,,,,
8332,1,0,10.81,33,0,0,7.7,1.2,0,1,8.9,,,,
8338,0,0,6.67,13,0,0,0,0,0,1,0,,,,
8346,1,0,11.74,3,0,0,4.3,0.3,1,0,4.6,,,,
8373,1,1,5.7,0,0,0,0,0,6,1,0,,,,
8404,1,0,10.9,22,0,0,44.3,5.2,0,1,49.5,,,,
8435,1,0,9.19,24,0,0,12.6,0.6,0,1,13.2,,,,
8444,0,0,5.81,13,0,0,0,0,0,1,0,,,,
8451,0,0,8.21,0,0,0,11.6,0.6,6,1,12.2,,,,
8461,0,0,5.34,12,0,0,0,0,0,1,0,,,,
8468,0,0,5.21,15,0,0,0,0,3,1,0,,,,
8483,1,1,5.81,0,0,0,0,0,6,1,0,,,,
8492,1,1,11.72,26,1.43,0,53.1,7.6,0,0,60.7,,,,
8510,1,1,11.72,21,0.1,1,22.4,3,0,0,25.4,,,,
8582,0,0,5.4,0,0,0,0,0,0,1,0,,,,
8589,1,0,5.91,14,0,2,0,0,0,1,0,,,,
8596,1,1,5.39,13,0,0,0,0,0,1,0,,,,
8607,0,0,8.56,40,0,0,38.6,3,0,1,41.6,,,,
8614,1,1,10.1,26,0,1,43.3,1.9,0,1,45.2,,,,
8668,0,0,8.46,20,0,0,5.1,0.4,0,1,5.5,,,,
8673,0,0,5.87,0,1.15,3,0,0,6,1,0,,,,
8688,0,0,5.98,0,0,1,0,0,6,1,0,,,,
8691,1,0,11.7,20,1.61,0,13.1,0.6,0,0,13.7,,,,
8697,1,1,11.7,19,1.93,0,38.4,3.1,0,0,41.5,,,,
8704,0,0,9.33,16,0,0,7.4,0.9,1,1,8.3,,,,
8713,0,0,4.84,12,0,0,0,0,0,1,0,,,,
8752,1,0,11.69,21,0.27,0,166,11,0,0,177,,,,
8763,1,0,5.72,23,0,6,0,0,0,1,0,,,,
8767,0,0,7.37,0,0,0,0,0,0,1,0,,,,
8770,0,0,5.32,17,0,0,0,0,0,1,0,,,,
8779,1,0,11.68,25,0.33,0,36.3,2,0,0,38.3,,,,
8835,1,0,11.86,17,0,0,17.3,1.3,0,1,18.6,,,,
8922,1,0,8.88,25,0,3,5.3,0.7,0,1,6,,,,
8929,1,0,8.91,24,0,0,2.4,0.1,0,1,2.5,,,,
8942,1,1,11.66,22,0.83,3,15.4,1.8,0,0,17.2,,,,
